name1,name2,date,target,pred
Adygea_Republic__Russia,XXX,2020.10.07,4601.00000000,4571.17285156
Adygea_Republic__Russia,XXX,2020.10.06,4556.00000000,4639.68505859
Adygea_Republic__Russia,XXX,2020.10.05,4513.00000000,4504.23095703
Adygea_Republic__Russia,XXX,2020.10.04,4475.00000000,4493.32958984
Adygea_Republic__Russia,XXX,2020.10.03,4434.00000000,4472.80908203
Adygea_Republic__Russia,XXX,2020.10.02,4392.00000000,4350.46142578
Adygea_Republic__Russia,XXX,2020.10.01,4348.00000000,4430.55029297
Adygea_Republic__Russia,XXX,2020.09.30,4308.00000000,4322.60400391
Adygea_Republic__Russia,XXX,2020.09.29,4266.00000000,4312.31738281
Adygea_Republic__Russia,XXX,2020.09.28,4227.00000000,4311.93847656
Adygea_Republic__Russia,XXX,2020.09.27,4186.00000000,4195.39794922
Adygea_Republic__Russia,XXX,2020.09.26,4149.00000000,4186.01806641
Adygea_Republic__Russia,XXX,2020.09.25,4114.00000000,4195.62792969
Adygea_Republic__Russia,XXX,2020.09.24,4080.00000000,4143.44091797
Adygea_Republic__Russia,XXX,2020.09.23,4051.00000000,4100.82177734
Adygea_Republic__Russia,XXX,2020.09.22,4019.00000000,4119.97998047
Adygea_Republic__Russia,XXX,2020.09.21,3989.00000000,4051.20385742
Adygea_Republic__Russia,XXX,2020.09.20,3956.00000000,4008.85937500
Adygea_Republic__Russia,XXX,2020.09.19,3925.00000000,4005.48413086
Adygea_Republic__Russia,XXX,2020.09.18,3897.00000000,4006.56860352
Adygea_Republic__Russia,XXX,2020.09.17,3873.00000000,3915.68286133
Adygea_Republic__Russia,XXX,2020.09.16,3847.00000000,3989.88500977
Adygea_Republic__Russia,XXX,2020.09.15,3824.00000000,3973.40625000
Adygea_Republic__Russia,XXX,2020.09.14,3799.00000000,3883.56689453
Adygea_Republic__Russia,XXX,2020.09.13,3775.00000000,3826.54296875
Adygea_Republic__Russia,XXX,2020.09.12,3753.00000000,3867.20629883
Adygea_Republic__Russia,XXX,2020.09.11,3730.00000000,3798.96118164
Adygea_Republic__Russia,XXX,2020.09.10,3710.00000000,3785.02661133
Adygea_Republic__Russia,XXX,2020.09.09,3689.00000000,3726.47680664
Adygea_Republic__Russia,XXX,2020.09.08,3669.00000000,3807.84155273
Adygea_Republic__Russia,XXX,2020.09.07,3650.00000000,3737.19433594
