name1,name2,date,target,pred
Adygea_Republic__Russia,XXX,2020.10.11,4601.00000000,4600.58154297
Adygea_Republic__Russia,XXX,2020.10.10,4556.00000000,4532.76855469
Adygea_Republic__Russia,XXX,2020.10.09,4513.00000000,4522.28466797
Adygea_Republic__Russia,XXX,2020.10.08,4475.00000000,4527.04980469
Adygea_Republic__Russia,XXX,2020.10.07,4434.00000000,4408.21240234
Adygea_Republic__Russia,XXX,2020.10.06,4392.00000000,4383.64697266
Adygea_Republic__Russia,XXX,2020.10.05,4348.00000000,4393.65966797
Adygea_Republic__Russia,XXX,2020.10.04,4308.00000000,4328.70117188
Adygea_Republic__Russia,XXX,2020.10.03,4266.00000000,4290.16552734
Adygea_Republic__Russia,XXX,2020.10.02,4227.00000000,4275.62451172
Adygea_Republic__Russia,XXX,2020.10.01,4186.00000000,4274.23242188
Adygea_Republic__Russia,XXX,2020.09.30,4149.00000000,4150.37744141
Adygea_Republic__Russia,XXX,2020.09.29,4114.00000000,4130.02539062
Adygea_Republic__Russia,XXX,2020.09.28,4080.00000000,4063.80566406
Adygea_Republic__Russia,XXX,2020.09.27,4051.00000000,4071.12255859
Adygea_Republic__Russia,XXX,2020.09.26,4019.00000000,4096.27783203
Adygea_Republic__Russia,XXX,2020.09.25,3989.00000000,4052.65234375
Adygea_Republic__Russia,XXX,2020.09.24,3956.00000000,4016.46118164
Adygea_Republic__Russia,XXX,2020.09.23,3925.00000000,3983.37011719
Adygea_Republic__Russia,XXX,2020.09.22,3897.00000000,4000.10327148
Adygea_Republic__Russia,XXX,2020.09.21,3873.00000000,4005.38500977
Adygea_Republic__Russia,XXX,2020.09.20,3847.00000000,3946.20019531
Adygea_Republic__Russia,XXX,2020.09.19,3824.00000000,3894.99707031
Adygea_Republic__Russia,XXX,2020.09.18,3799.00000000,3962.65332031
Adygea_Republic__Russia,XXX,2020.09.17,3775.00000000,3823.19287109
Adygea_Republic__Russia,XXX,2020.09.16,3753.00000000,3890.58496094
Adygea_Republic__Russia,XXX,2020.09.15,3730.00000000,3805.03027344
Adygea_Republic__Russia,XXX,2020.09.14,3710.00000000,3846.14916992
Adygea_Republic__Russia,XXX,2020.09.13,3689.00000000,3788.56372070
Adygea_Republic__Russia,XXX,2020.09.12,3669.00000000,3765.32226562
Adygea_Republic__Russia,XXX,2020.09.11,3650.00000000,3749.43725586
Adygea_Republic__Russia,XXX,2020.09.10,3630.00000000,3691.24536133
Adygea_Republic__Russia,XXX,2020.09.09,3609.00000000,3580.74609375
Adygea_Republic__Russia,XXX,2020.09.08,3587.00000000,3623.53662109
Adygea_Republic__Russia,XXX,2020.09.07,3567.00000000,3619.48364258
Adygea_Republic__Russia,XXX,2020.09.06,3546.00000000,3500.00000000
Adygea_Republic__Russia,XXX,2020.09.05,3522.00000000,3519.52539062
Adygea_Republic__Russia,XXX,2020.09.04,3500.00000000,3500.40527344
Adygea_Republic__Russia,XXX,2020.09.03,3480.00000000,3515.77026367
Adygea_Republic__Russia,XXX,2020.09.02,3461.00000000,3452.60083008
Adygea_Republic__Russia,XXX,2020.09.01,3440.00000000,3453.11669922
Adygea_Republic__Russia,XXX,2020.08.31,3420.00000000,3460.44189453
Adygea_Republic__Russia,XXX,2020.08.30,3405.00000000,3433.43676758
Adygea_Republic__Russia,XXX,2020.08.29,3386.00000000,3411.31127930
Adygea_Republic__Russia,XXX,2020.08.28,3364.00000000,3406.39355469
